Year,State,COVID-19 Deaths
2020.0,Washington,3701.0
2021.0,Washington,6165.0
2022.0,Washington,4155.0
2023.0,Washington,1043.0
2020.0,West Virginia,1560.0
2021.0,West Virginia,3938.0
2022.0,West Virginia,2360.0
2023.0,West Virginia,476.0
2020.0,Wisconsin,6286.0
2021.0,Wisconsin,6076.0
2022.0,Wisconsin,3910.0
2023.0,Wisconsin,794.0
2020.0,Wyoming,461.0
2021.0,Wyoming,963.0
2022.0,Wyoming,353.0
2023.0,Wyoming,77.0
